Bus_Number;Bus_Type;PD_MW;QD_MVar;GS_MW;BS_MVar;BusArea;Vm;Va;BaseKV;LossZone;Vmax;Vmin;LAM_P;LAM_Q;MU_VMAX;MU_VMIN;Bus_Name;gis_x;gis_y
679;1;0.009472;0.003743;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;05015N;6.768.530.781.651.170;22.844.223.077.540.400
680;1;0.0;0.0;0.0;0.0;4;1;0;16.8;1;1.5;0.5;0;0;0;0;05015H;6.768.530.781.651.170;22.844.223.077.540.400
681;1;0.0;0.0;0.0;0.0;4;1;0;16.8;1;1.5;0.5;0;0;0;0;K102;6.768.530.781.651.170;22.844.223.077.540.400
682;1;0.0;0.0;0.0;0.0;4;1;0;16.8;1;1.5;0.5;0;0;0;0;K101;6.768.530.781.651.170;22.844.223.077.540.400
683;1;0.0;0.0;0.0;0.0;4;1;0;16.8;1;1.5;0.5;0;0;0;0;05022H;6.807.163.110.839.380;22.744.140.581.219.200
684;1;0.17995899999999998;0.071125;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;05022N;6.807.163.110.839.380;22.744.140.581.219.200
685;1;0.0;0.0;0.0;0.0;4;1;0;16.8;1;1.5;0.5;0;0;0;0;05023H;682.159.244.827.738;2.261.584.046.656.350
686;1;0.19078399999999998;0.075403;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;05023N;682.159.244.827.738;2.261.584.046.656.350
687;1;0.0;0.0;0.0;0.0;4;1;0;16.8;1;1.5;0.5;0;0;0;0;05024H;6.827.627.275.550.190;22.855.097.850.348.900
688;1;0.150868;0.059627;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;05024N;6.827.627.275.550.190;22.855.097.850.348.900
689;1;0.012853999999999999;0.0050799999999999994;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;05021N;6.768.530.781.651.170;22.844.223.077.540.400
690;1;0.0;0.0;0.0;0.0;4;1;0;16.8;1;1.5;0.5;0;0;0;0;05021H;6.768.530.781.651.170;22.844.223.077.540.400
691;1;0.0;0.0;0.0;0.0;4;1;0;16.8;1;1.5;0.5;0;0;0;0;K98;6.768.530.781.651.170;22.844.223.077.540.400
692;1;0.0;0.0;0.0;0.0;4;1;0;16.8;1;1.5;0.5;0;0;0;0;K96;6.768.530.781.651.170;22.844.223.077.540.400
693;1;0.0;0.0;0.0;0.0;4;1;0;16.8;1;1.5;0.5;0;0;0;0;K106;6.768.530.781.651.170;22.844.223.077.540.400
694;1;0.0;0.0;0.0;0.0;4;1;0;16.8;1;1.5;0.5;0;0;0;0;K300;6.762.509.748.147.550;2.275.684.028.992.890
695;1;0.129882;0.0513325;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;09054N-1;6.815.286.533.974.960;2.254.912.659.730.610
696;1;0.0;0.0;0.0;0.0;3;1;0;16.8;1;1.5;0.5;0;0;0;0;00010H1.T3;6.807.163.110.839.380;22.744.140.581.219.200
697;1;0.0;0.0;0.0;0.0;3;1;0;16.8;1;1.5;0.5;0;0;0;0;00010H2.T3;6.807.163.110.839.380;22.744.140.581.219.200
698;1;0.0;0.0;0.0;0.0;3;1;0;16.8;1;1.5;0.5;0;0;0;0;00195H2;6.815.458.234.933.350;22.969.674.400.477.100
699;1;0.0;0.0;0.0;0.0;8;1;0;16.8;1;1.5;0.5;0;0;0;0;K2731;6.819.465.875.866.970;22.427.253.175.937.200
700;1;0.0;0.0;0.0;0.0;6;1;0;16.8;1;1.5;0.5;0;0;0;0;01049H-3;6.773.331.060.386.220;2.268.458.076.254.610
701;1;0.313912;0.124066;0.0;0.0;3;1;0;16.8;1;1.5;0.5;0;0;0;0;01049H-1;6.773.331.060.386.220;2.268.458.076.254.610
702;1;0.0;0.0;0.0;0.0;9;1;0;0.52;1;1.5;0.5;0;0;0;0;00100N-3;68.323.657.254.209;22.774.701.154.243.000
703;1;0.33826999999999996;0.133693;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;01060N;677.175.872.975.912;22.646.287.226.380.300
704;1;0.0;0.0;0.0;0.0;1;1;0;16.8;1;1.5;0.5;0;0;0;0;00420H-1;6.834.591.466.422.970;22.821.336.686.361.200
705;1;0.023002;0.009091;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;01030N;6.772.519.213.702.750;2.290.695.155.480.420
706;1;0.0;0.0;0.0;0.0;6;1;0;16.8;1;1.5;0.5;0;0;0;0;01030H;6.772.519.213.702.750;2.290.695.155.480.420
707;1;0.0;0.0;0.0;0.0;2;1;0;16.8;1;1.5;0.5;0;0;0;0;00210H-1;6.818.301.791.024.800;22.759.493.124.800.500
708;1;0.0;0.0;0.0;0.0;2;1;0;16.8;1;1.5;0.5;0;0;0;0;K1524;6.817.122.345.604.610;22.756.072.531.346.000
709;1;0.0;0.0;0.0;0.0;3;1;0;16.8;1;1.5;0.5;0;0;0;0;K7004;6.763.858.215.891.060;22.782.292.576.726.100
710;1;0.0;0.0;0.0;0.0;2;1;0;16.8;1;1.5;0.5;0;0;0;0;K1275;6.817.122.345.604.610;22.756.072.531.346.000
711;1;0.0;0.0;0.0;0.0;9;1;0;0.5;1;1.5;0.5;0;0;0;0;03096N-0.5kV;6.852.307.486.711.940;22.310.685.273.635.300
712;1;0.0;0.0;0.0;0.0;1;1;0;16.8;1;1.5;0.5;0;0;0;0;K659;6.834.243.055.894.130;22.927.967.616.954.400
713;1;0.0;0.0;0.0;0.0;2;1;0;16.8;1;1.5;0.5;0;0;0;0;00200H-230;6.817.122.345.604.610;22.756.072.531.346.000
714;1;0.100164;0.0395875;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;09097N-1;680.959.736.989.053;22.555.114.047.503.800
715;1;0.0;0.0;0.0;0.0;1;1;0;16.8;1;1.5;0.5;0;0;0;0;00305H;6.827.824.074.216.220;22.563.471.835.272.600
716;1;0.0;0.0;0.0;0.0;2;1;0;16.8;1;1.5;0.5;0;0;0;0;00221H;6.820.587.285.962.730;22.713.190.912.799.500
717;1;0.0;0.0;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;01042N-3;6.775.704.951.783.190;22.620.070.765.195.400
718;1;0.0;0.0;0.0;0.0;3;1;0;16.8;1;1.5;0.5;0;0;0;0;00098H-8;6.845.817.387.715.160;22.416.079.088.811.500
719;1;0.0;0.0;0.0;0.0;3;1;0;16.8;1;1.5;0.5;0;0;0;0;09096H-1;6.815.002.073.042.530;225.699.652.947.263
720;1;0.0;0.0;0.0;0.0;4;1;0;16.8;1;1.5;0.5;0;0;0;0;00098H-80;6.845.817.387.715.160;22.416.079.088.811.500
721;1;0.0;0.0;0.0;0.0;3;1;0;16.8;1;1.5;0.5;0;0;0;0;00098H-6.1;6.845.817.387.715.160;22.416.079.088.811.500
722;1;0.0;0.0;0.0;0.0;3;1;0;16.8;1;1.5;0.5;0;0;0;0;00098H-7.1;6.845.817.387.715.160;22.416.079.088.811.500
723;1;0.0;0.0;0.0;0.0;2;1;0;16.8;1;1.5;0.5;0;0;0;0;00001-H;6.849.062.415.187.760;22.971.297.380.008.500
724;1;0.0;0.0;0.0;0.0;8;1;0;16.8;1;1.5;0.5;0;0;0;0;08025H-1;6.787.446.720.321.810;22.680.365.514.029.100
725;1;0.0;0.0;0.0;0.0;2;1;0;16.8;1;1.5;0.5;0;0;0;0;00175H;6.812.561.257.818.070;22.842.156.606.169.200
726;1;0.0;0.0;0.0;0.0;2;1;0;16.8;1;1.5;0.5;0;0;0;0;K1299;6.805.275.535.125.170;22.871.402.503.276.900
727;1;0.023679;0.009358;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;00315N;6.824.599.327.647.010;22.671.047.267.975.600
728;1;0.0;0.0;0.0;0.0;8;1;0;16.8;1;1.5;0.5;0;0;0;0;K2542;6.810.830.498.140.970;2.223.200.308.168.090
729;1;0.0;0.0;0.0;0.0;8;1;0;16.8;1;1.5;0.5;0;0;0;0;K3078;6.807.163.110.839.380;22.744.140.581.219.200
730;1;0.0;0.0;0.0;0.0;8;1;0;16.8;1;1.5;0.5;0;0;0;0;K3075;6.800.342.347.333.650;22.681.722.842.643.400
731;1;0.0;0.0;0.0;0.0;8;1;0;16.8;1;1.5;0.5;0;0;0;0;K3074;6.800.342.347.333.650;22.681.722.842.643.400
732;1;0.0;0.0;0.0;0.0;5;1;0;16.8;1;1.5;0.5;0;0;0;0;K4002;679.945.712.602.269;22.646.034.815.960.000
733;1;0.0;0.0;0.0;0.0;5;1;0;16.8;1;1.5;0.5;0;0;0;0;K4001;6.804.399.290.570.590;22.680.537.965.866.100
734;1;0.24558400000000002;0.097061;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;00165N;6.818.746.714.762.490;2.281.396.022.296.570
735;1;0.0;0.0;0.0;0.0;2;1;0;16.8;1;1.5;0.5;0;0;0;0;00165H;6.818.746.714.762.490;2.281.396.022.296.570
736;1;0.066977;0.026470999999999998;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;00111N;6.829.204.451.473.200;2.279.985.782.755.500
737;1;0.220552;0.087168;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;09077N-2;6.800.342.347.333.650;22.681.722.842.643.400
738;1;0.22731700000000002;0.08984099999999999;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;09077N-1;6.800.342.347.333.650;22.681.722.842.643.400
739;1;0.0;0.0;0.0;0.0;5;1;0;16.8;1;1.5;0.5;0;0;0;0;09077.1H;6.800.342.347.333.650;22.681.722.842.643.400
740;1;0.0;0.0;0.0;0.0;5;1;0;16.8;1;1.5;0.5;0;0;0;0;01016H;6.785.045.134.010.760;2.267.786.563.567.720
741;1;0.056829;0.02246;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;09005N;6.801.920.263.122.610;22.686.110.988.518.900
742;1;0.0;0.0;0.0;0.0;5;1;0;16.8;1;1.5;0.5;0;0;0;0;09005H;6.801.920.263.122.610;22.686.110.988.518.900
743;1;0.11568800000000001;0.045723;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;09068N-2;6.797.830.790.813.750;22.659.851.294.234.000
744;1;0.11501199999999999;0.045456;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;09068N-1;6.797.830.790.813.750;22.659.851.294.234.000
745;1;0.0;0.0;0.0;0.0;5;1;0;16.8;1;1.5;0.5;0;0;0;0;09068H;6.797.830.790.813.750;22.659.851.294.234.000
746;1;0.0;0.0;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;01016N-3;6.785.045.134.010.760;2.267.786.563.567.720
747;1;0.41607200000000005;0.164442;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;01016N-2;6.785.045.134.010.760;2.267.786.563.567.720
748;1;0.44719200000000003;0.176742;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;01016N-1;6.785.045.134.010.760;2.267.786.563.567.720
749;1;0.0;0.0;0.0;0.0;5;1;0;16.8;1;1.5;0.5;0;0;0;0;01016H-1;6.785.045.134.010.760;2.267.786.563.567.720
750;1;0.0;0.0;0.0;0.0;5;1;0;16.8;1;1.5;0.5;0;0;0;0;00010H-1A.1;6.807.163.110.839.380;22.744.140.581.219.200
751;1;0.0;0.0;0.0;0.0;3;1;0;8.0;1;1.5;0.5;0;0;0;0;03003H-8.9;6.807.163.110.839.380;22.744.140.581.219.200
752;1;0.0;0.0;0.0;0.0;3;1;0;8.0;1;1.5;0.5;0;0;0;0;03003H-KT2;6.844.677.023.535.590;22.607.021.812.731.500
753;1;0.0;0.0;0.0;0.0;1;1;0;16.8;1;1.5;0.5;0;0;0;0;03003H-KT1;6.844.677.023.535.590;22.607.021.812.731.500
754;1;0.000677;0.000267;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;00430N;6.844.677.023.535.590;22.607.021.812.731.500
755;1;0.0;0.0;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;07031N-1;6.821.133.806.609.240;22.837.061.628.296.700
756;1;0.0;0.0;0.0;0.0;4;1;0;16.8;1;1.5;0.5;0;0;0;0;07033H;6.816.437.180.689.180;2.242.478.510.831.650
757;1;0.0;0.0;0.0;0.0;4;1;0;16.8;1;1.5;0.5;0;0;0;0;07022H;6.816.437.180.689.180;2.242.478.510.831.650
758;1;0.0;0.0;0.0;0.0;8;1;0;16.8;1;1.5;0.5;0;0;0;0;K2502;6.820.208.220.305.180;2.202.495.970.859.860
759;1;0.0;0.0;0.0;0.0;8;1;0;16.8;1;1.5;0.5;0;0;0;0;K2537;6.820.208.220.305.180;2.202.495.970.859.860
760;1;0.0;0.0;0.0;0.0;8;1;0;16.8;1;1.5;0.5;0;0;0;0;K3152;6.820.786.232.809.670;22.660.447.809.268.700
761;1;0.0;0.0;0.0;0.0;8;1;0;16.8;1;1.5;0.5;0;0;0;0;K2501;6.820.786.232.809.670;22.660.447.809.268.700
762;1;0.0;0.0;0.0;0.0;8;1;0;16.8;1;1.5;0.5;0;0;0;0;K2503;6.820.786.232.809.670;22.660.447.809.268.700
763;1;0.0;0.0;0.0;0.0;8;1;0;16.8;1;1.5;0.5;0;0;0;0;K2530;6.810.426.031.253.850;22.571.757.559.531.500
764;1;0.0;0.0;0.0;0.0;8;1;0;16.8;1;1.5;0.5;0;0;0;0;K2529;6.805.275.535.125.170;22.871.402.503.276.900
765;1;0.0;0.0;0.0;0.0;8;1;0;16.8;1;1.5;0.5;0;0;0;0;K2024;6.777.492.835.818.520;22.598.769.297.757.200
766;1;0.0;0.0;0.0;0.0;8;1;0;16.8;1;1.5;0.5;0;0;0;0;09032H-1;6.817.819.408.445.330;2.253.642.843.707.560
767;1;0.0;0.0;0.0;0.0;2;1;0;16.8;1;1.5;0.5;0;0;0;0;00290.1H;6.815.374.695.770.420;2.272.615.171.598.220
768;1;0.0;0.0;0.0;0.0;2;1;0;16.8;1;1.5;0.5;0;0;0;0;00391H;6.817.336.393.125.310;22.688.711.361.990.100
769;1;0.838232;0.33129000000000003;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;00290N;6.815.374.695.770.420;2.272.615.171.598.220
770;1;0.235436;0.09305;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;00390N;6.817.638.852.122.630;22.705.920.050.499.200
771;1;0.322033;0.127275;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;00220N-2;6.821.966.457.141.490;22.743.521.083.660.900
772;1;0.322033;0.127275;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;00220N-1;6.821.966.457.141.490;22.743.521.083.660.900
773;1;0.0;0.0;0.0;0.0;2;1;0;16.8;1;1.5;0.5;0;0;0;0;00220H;6.821.966.457.141.490;22.743.521.083.660.900
774;1;0.276028;0.10909300000000001;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;00250N;6.819.482.927.424.070;22.777.809.934.418.700
775;1;0.0;0.0;0.0;0.0;2;1;0;16.8;1;1.5;0.5;0;0;0;0;00250H;6.819.482.927.424.070;22.777.809.934.418.700
776;1;0.0;0.0;0.0;0.0;2;1;0;16.8;1;1.5;0.5;0;0;0;0;00210H;6.818.301.791.024.800;22.759.493.124.800.500
777;1;0.094715;0.037433999999999995;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;00270N-3;6.822.950.807.723.110;22.763.558.217.575.700
778;1;0.0;0.0;0.0;0.0;5;1;0;16.8;1;1.5;0.5;0;0;0;0;10.171;6.807.163.110.839.380;22.744.140.581.219.200
779;1;0.0;0.0;0.0;0.0;1;1;0;16.8;1;1.5;0.5;0;0;0;0;00430H-100;6.844.677.023.535.590;22.607.021.812.731.500
780;1;0.0;0.0;0.0;0.0;1;1;0;16.8;1;1.5;0.5;0;0;0;0;00430H-50;6.844.677.023.535.590;22.607.021.812.731.500
781;1;0.0;0.0;0.0;0.0;1;1;0;16.8;1;1.5;0.5;0;0;0;0;00430H-80;6.844.677.023.535.590;22.607.021.812.731.500
782;1;0.0;0.0;0.0;0.0;1;1;0;16.8;1;1.5;0.5;0;0;0;0;00430H-110;6.844.677.023.535.590;22.607.021.812.731.500
783;1;0.0;0.0;0.0;0.0;1;1;0;16.8;1;1.5;0.5;0;0;0;0;00430H-2;6.844.677.023.535.590;22.607.021.812.731.500
784;1;0.0;0.0;0.0;0.0;1;1;0;16.8;1;1.5;0.5;0;0;0;0;00430H-1;6.844.677.023.535.590;22.607.021.812.731.500
